"Monthly average retail prices for selected products 1 2 3 4"
"Frequency: Monthly"
"Table: 18-10-0245-01"
"Release date: 2025-11-05"
"Geography: Canada, Province or territory, Population centre"
""
""

"Geography","Canada",,,,
"Products","May 2025","June 2025","July 2025","August 2025","September 2025"
,"Dollars",,,,
"Canola oil, 3 litres 6","10.30","10.15","9.51","10.50","9.87"
"Olive oil, 1 litre 6","12.41","12.96","11.42","12.25","10.72"
"Baby food, 128 millilitres 6","1.61","1.59","1.61","1.61","1.61"
"Infant formula, 900 grams  6","49.59","48.81","49.90","48.68","50.27"
"Peanut butter, 1 kilogram 6","6.13","6.12","6.16","5.58","5.61"
"Mayonnaise, 890 millilitres  6","6.24","6.26","6.25","6.30","6.49"
"Canned baked beans, 398 millilitres 6","1.86","1.96","1.87","1.87","1.62"
"Canned tomatoes, 796 millilitres 6","2.15","2.14","2.18","2.03","2.10"
"Canned soup, 284 millilitres 6","1.34","1.52","1.64","1.44","1.37"
"Canned beans and lentils, 540 millilitres 5","1.68","1.64","1.69","1.67","1.65"
"Canned corn, 341 millilitres 6","1.58","1.61","1.58","1.59","1.56"
"Canned peach, 398 millilitres 6","2.45","2.43","2.43","2.53","2.45"
"Canned pear, 398 millilitres 6","2.82","2.77","2.70","2.97","2.87"
"Dried lentils, 900 grams 6","3.64","3.56","3.49","3.55","3.52"
"Dry beans and legumes, 900 grams  6","3.46","3.47","3.43","3.49","3.46"
"Tofu, 350 grams  6","2.71","2.76","2.80","2.75","2.75"
"Hummus, 227 grams 6","3.38","3.64","3.77","3.96","3.92"
"Salsa, 418 millilitres 6","4.90","4.89","4.92","4.88","4.89"
"Pasta sauce, 650 millilitres 6","3.27","3.32","3.32","3.25","3.34"
"Salad dressing, 475 millilitres 6","3.32","3.25","3.41","3.76","3.89"
"Almonds, 200 grams 6","5.11","5.14","5.10","5.21","5.11"
"Peanuts, 450 grams 6","4.22","4.20","4.24","4.26","4.39"
"Sunflower seeds, 400 grams  6","4.91","4.98","4.96","4.97","4.87"
"Deodorant, 85 grams 6","7.77","8.08","8.07","7.31","8.25"
"Toothpaste, 100 millilitres 6","4.02","4.19","4.11","4.07","4.12"
"Shampoo, 400 millilitres 6","7.21","7.15","7.17","7.33","7.35"
"Laundry detergent, 4.43 litres 6","13.46","14.03","13.31","13.82","13.63"




Footnotes:
1,"Average price estimates for these products are derived using transaction data from Canadian grocery retailers. The composition of a given product category may change over time due to evolving consumer purchasing patterns and product availability. Therefore, users should exercise caution when comparing average prices over time as average prices may not be fully comparable from one month to another and should not be used as a representative measure of pure price change through time. Note: Data are subject to revision."
2,"For concepts and definitions, see the <a href="https://www150.statcan.gc.ca/n1/pub/62f0014m/62f0014m2022007-eng.htm" rel="external noopener noreferrer" target="_blank">Methodological Supplement for the Monthly Average Retail Prices Table (opens new window)</a> publication, available in the Prices Analytical Series (62F0014M). Additional information, including product details, can be obtained by contacting the <a href="mailto:statcan.cpddisseminationunit-dpcunitedediffusion.statcan@statcan.gc.ca">Consumer Prices Division</a>."
3,"With the release of data for the January 2024 reference month, this table has been updated to incorporate data from additional grocery retailers, increasing the sample of price data used in the calculation of monthly average prices. This enhancement expands the coverage and improves the quality of the data, while ensuring the representativeness of prices paid by Canadian consumers. Users should continue to exercise caution when comparing average prices over time and when interpreting the 1-month change for January 2024 and the 12-month change for the next 12 months. "
4,"With the release of data for the September 2025 reference month, this table has been updated to include data from the Yukon and the Northwest Territories. Please note that for data confidentiality reasons, not all 110 average prices are available for these two regions."
5,"Specific size - In most cases, a specific size or quantity can be easily identified as the measure of best fit for a particular product. For some products, a specific size or quantity is the most commonly purchased by a considerable amount (for example, 1 dozen eggs). Other products have multiple high-sale sizes over a large range (for example, milk). In this case we calculate separate average prices for each size (1 litre, 2 litres and 4 litres) in order to provide a fuller picture. Other products such as fresh produce and meats are often sold by weight, and provided as a price per kilogram. In these cases, one kilogram is applied as the specific size. These products are then standardized to ensure that the price per one kilogram is included in the average price calculation. The specific size alone provides sufficient coverage to produce a robust measure."
6,"Standardized size - For certain products which are available to consumers in a wide variety of package sizes, prices for products within a set range of package sizes are standardized before the average price calculation. For example, prices for blocks of cheese ranging in size from 400 grams to 800 grams are adjusted to represent a 500 grams block of cheese, and are presented as such in the average prices table."



"How to cite: Statistics Canada. Table 18-10-0245-01  Monthly average retail prices for selected products"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810024501
